"Publication","Taxa","Theme","Topic","Water_Type","Depth_groups","Length_Groups","Tracking_Days","Recording_Hours","Combination"
"Rudd_2021","Chondrichthyes","Conservation Methods","Marine protected areas and reserves","Saltwater",">40m","Large","Short Term","Medium Term","Crittercam + Satellite + Archival"
"Rudd_2021","Chondrichthyes","Reproductive Ecology","Spawning, breeding, nesting behaviour","Saltwater","3m to 40m","Medium","Short Term","Medium Term","Crittercam + Satellite + Archival"
"Rudd_2021","Chondrichthyes","Conservation Methods","Management","Saltwater","3m to 40m","Medium","Short Term","Medium Term","Crittercam + Satellite + Archival"
"Runde_2022","Teleostei","Behavioural Ecology","Predator prey interactions","Saltwater","3m to 40m","Small",NA,NA,"Stationary + Acoustic"
"Runde_2022","Teleostei","Fisheries Management","Mortality Reduction","Saltwater","3m to 40m","Small",NA,NA,"Stationary + Acoustic"
"Sarno_1994","Teleostei","Behavioural Ecology","Co_existence","Saltwater","3m to 40m","Large",NA,NA,"Stationary + Acoustic"
"Sarno_1994","Teleostei","Behavioural Ecology","Predator prey interactions","Saltwater","3m to 40m","Large",NA,NA,"Stationary + Acoustic"
"Semmens_2019","Chondrichthyes","Behavioural Ecology","Behavioural states and adaptations","Saltwater","3m to 40m","Large",NA,"Long Term","Crittercam + Archival"
"Semmens_2019","Chondrichthyes","Behavioural Ecology","Energetics","Saltwater","Surface to 3m",NA,NA,"Long Term","Crittercam + Archival"
"Semmens_2019","Chondrichthyes","Methodological","Integrated approach","Saltwater","Surface to 3m",NA,NA,"Long Term","Crittercam + Archival"
"Sjoberg_1999","Phocidae","Behavioural Ecology","Behavioural states and adaptations","Saltwater","Surface to 3m",NA,"Long Term","Long Term","Stationary + Satellite"
"Sjoberg_1999","Phocidae","Other Drivers of Movement and Habitat Use","Diel differences","Saltwater","Surface to 3m",NA,"Long Term","Long Term","Stationary + Satellite"
"Sjoberg_1999","Phocidae","Other Drivers of Movement and Habitat Use","Environmental factors","Saltwater","Surface to 3m",NA,"Long Term","Long Term","Stationary + Satellite"
"Sjoberg_1999","Phocidae","Other Drivers of Movement and Habitat Use","Oceanagraphic Conditions","Saltwater",">40m","Large","Long Term","Long Term","Stationary + Satellite"
"Sjoberg_1999","Phocidae","Other Drivers of Movement and Habitat Use","Seasonal Differences","Saltwater",">40m","Large","Long Term","Long Term","Stationary + Satellite"
"Tackaberry_2020","Cetacea","Reproductive Ecology","Parental offspring interactions","Saltwater","Surface to 3m","Medium","Short Term","Medium Term","Crittercam + Archival"
"Tackaberry_2020","Cetacea","Methodological","Feasibility","Saltwater","Surface to 3m","Medium","Short Term","Medium Term","Crittercam + Archival"
"Tanoue_2012","Teleostei","Behavioural Ecology","Predator prey interactions","Freshwater","Surface to 3m","Medium","Short Term",NA,"Stationary + Acoustic + Radio"
"Tanoue_2012","Teleostei","Methodological","Paired lab approach","Freshwater",NA,"Medium","Short Term",NA,"Stationary + Acoustic + Radio"
"Tanoue_2012","Teleostei","Methodological","Feasibility","Freshwater",NA,"Medium","Short Term",NA,"Stationary + Acoustic + Radio"
"Thomson_2014","Reptilia","Methodological","Feasibility","Saltwater",NA,"Medium",NA,"Short term","Crittercam + Archival"
"Thomson_2014","Reptilia","Methodological","Tag and video accuracy and precision","Saltwater",NA,"Medium",NA,"Short term","Crittercam + Archival"
"Thomson_2014","Reptilia","Behavioural Ecology","Behavioural states and adaptations","Saltwater","3m to 40m","Medium",NA,"Short term","Crittercam + Archival"
"Thomson_2014","Reptilia","Other Drivers of Movement and Habitat Use","Seasonal Differences","Saltwater","3m to 40m","Medium",NA,"Short term","Crittercam + Archival"
"Van_deurs_2017","Teleostei","Behavioural Ecology","Predator prey interactions","Freshwater",">40m",NA,"Short Term",NA,"Stationary + Archival"
"Van_deurs_2017","Teleostei","Methodological","Tagging procedure","Freshwater",">40m",NA,"Short Term",NA,"Stationary + Archival"
"Volpov_2015","Phocidae","Behavioural Ecology","Predator prey interactions","Saltwater",">40m",NA,"Medium Term",NA,"Crittercam + Archival"
"Volpov_2015","Phocidae","Methodological","Tag and video accuracy and precision","Saltwater",">40m",NA,"Medium Term",NA,"Crittercam + Archival"
"Watanabe_2020","Phocidae","Behavioural Ecology","Predator prey interactions","Freshwater","3m to 40m","Large","Short Term","Short term","Crittercam + Archival"
"White_2022","Chondrichthyes","Behavioural Ecology","Behavioural states and adaptations","Saltwater","3m to 40m","Large","Medium Term","Medium Term","Crittercam + Archival"
"White_2022","Chondrichthyes","Behavioural Ecology","Co_existence","Saltwater",">40m",NA,"Medium Term","Medium Term","Crittercam + Archival"
"White_2022","Chondrichthyes","Behavioural Ecology","Cooperative Behaviour","Saltwater",">40m",NA,"Medium Term","Medium Term","Crittercam + Archival"
"White_2022","Cetacea","Behavioural Ecology","Behavioural states and adaptations","Saltwater",">40m",NA,"Medium Term","Medium Term","Crittercam + Archival"
"White_2022","Cetacea","Behavioural Ecology","Co_existence","Saltwater",">40m",NA,"Medium Term","Medium Term","Crittercam + Archival"
"White_2022","Cetacea","Behavioural Ecology","Cooperative Behaviour","Saltwater","3m to 40m","Medium","Medium Term","Medium Term","Crittercam + Archival"
"Wilson_2017","Phocidae","Behavioural Ecology","Behavioural states and adaptations","Saltwater","3m to 40m","Medium","Long Term","Long Term","Crittercam + Archival"
"Wilson_2017","Phocidae","Methodological","Feasibility","Saltwater","3m to 40m","Medium","Long Term","Long Term","Crittercam + Archival"
"Wilson_2017","Phocidae","Methodological","Integrated approach","Saltwater","3m to 40m","Medium","Long Term","Long Term","Crittercam + Archival"
"Wilson_2017","Phocidae","Other Drivers of Movement and Habitat Use","Environmental factors","Saltwater","3m to 40m","Medium","Long Term","Long Term","Crittercam + Archival"
"Winter_2019","Chondrichthyes","Behavioural Ecology","Habitat and space use","Saltwater","Surface to 3m","Small","Long Term","Short term","BRUV + Acoustic"
"Winter_2019","Chondrichthyes","Behavioural Ecology","Population structuring","Saltwater","Surface to 3m","Small","Long Term","Short term","BRUV + Acoustic"
"Winter_2019","Chondrichthyes","Behavioural Ecology","Community structuring","Saltwater","Surface to 3m","Small","Long Term","Short term","BRUV + Acoustic"
"Winter_2019","Chondrichthyes","Conservation Methods","Marine protected areas and reserves","Saltwater","Surface to 3m","Small","Long Term","Short term","BRUV + Acoustic"
"Winter_2019","Chondrichthyes","Other Drivers of Movement and Habitat Use","Ontogenic","Saltwater","Surface to 3m","Small","Long Term","Short term","BRUV + Acoustic"
"Yokota_2007","Teleostei","Behavioural Ecology","Behavioural states and adaptations","Saltwater",">40m",NA,"Medium Term","Medium Term","Stationary + Acoustic"
"Yokota_2007","Teleostei","Fisheries Management","Hatchery","Saltwater",">40m",NA,"Medium Term","Medium Term","Stationary + Acoustic"
"Yokota_2007","Teleostei","Methodological","Paired lab approach","Saltwater","3m to 40m","Medium","Medium Term","Medium Term","Stationary + Acoustic"
"Yokota_2007","Teleostei","Other Drivers of Movement and Habitat Use","Diel differences","Saltwater","3m to 40m","Medium","Medium Term","Medium Term","Stationary + Acoustic"
"Yokota_2011","Teleostei","Behavioural Ecology","Predator prey interactions","Saltwater","Surface to 3m","Small","Long Term","Medium Term","Stationary + Acoustic"
"Yokota_2011","Teleostei","Methodological","Paired lab approach","Saltwater","Surface to 3m","Small","Long Term","Medium Term","Stationary + Acoustic"
"Yokota_2011","Teleostei","Fisheries Management","Hatchery","Saltwater","Surface to 3m","Small","Long Term","Medium Term","Stationary + Acoustic"
"Yokota_2011","Teleostei","Other Drivers of Movement and Habitat Use","Diel differences","Saltwater","Surface to 3m","Small","Long Term","Medium Term","Stationary + Acoustic"
"Yokota_2011","Teleostei","Other Drivers of Movement and Habitat Use","Ontogenic","Saltwater",">40m",NA,"Long Term","Medium Term","Stationary + Acoustic"
"Yoshino_2020","Phocidae","Reproductive Ecology","Adult migration","Saltwater","3m to 40m","Medium",NA,"Medium Term","Crittercam + Satellite + Archival"
"Yoshino_2020","Phocidae","Behavioural Ecology","Predator prey interactions","Saltwater",NA,NA,NA,"Medium Term","Crittercam + Satellite + Archival"
"Yoshino_2020","Phocidae","Other Drivers of Movement and Habitat Use","Environmental factors","Saltwater",NA,NA,NA,"Medium Term","Crittercam + Satellite + Archival"
"Zhang_2015","Teleostei","Behavioural Ecology","Behavioural states and adaptations","Saltwater",NA,NA,"Medium Term",NA,"Controlled + Acoustic"
"Zhang_2015","Teleostei","Behavioural Ecology","Habitat and space use","Saltwater",NA,NA,"Medium Term",NA,"Controlled + Acoustic"
"Zhang_2015","Teleostei","Conservation Methods","Artificial Reefs","Saltwater",NA,NA,"Medium Term",NA,"Controlled + Acoustic"
